nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.4428198,4.8539386,1.4512743,4.926192
1.4394622,3.6163733,1.4483929,3.709038
1.4313399,3.3712237,1.4412893,3.2881
1.4167417,2.8729956,1.4278378,2.9394836
1.4171821,2.6612706,1.4281942,2.679506
1.4188842,2.823212,1.4295003,2.764375
1.4136251,2.5739582,1.425665,2.6063392
1.4145449,2.39381,1.4269464,2.4011488
1.4177152,2.3636444,1.430749,2.3984938
1.4221983,2.4208095,1.4356644,2.3352695
1.4290777,2.3046598,1.4429041,2.2999802
1.439815,2.278228,1.4542522,2.282497
1.4311192,2.2129765,1.4450598,2.3299794
1.421513,2.1821074,1.4347624,2.1892447
1.42857,2.1675253,1.4423369,2.161849
1.4311556,2.1738915,1.4452893,2.130071
1.4491235,2.0789044,1.4650677,2.1271813
1.4746038,2.1620762,1.4922233,2.1488483
1.4718201,2.1163085,1.4894388,2.1519797
1.4739676,2.073097,1.4916708,2.1308794
1.461849,2.0566382,1.4789786,2.0416415
1.4655545,2.0740244,1.4828328,2.0764675
1.4618088,1.972206,1.4789891,2.009854
1.4619021,2.0509865,1.4790529,2.0532582
1.4443796,2.0356696,1.4604077,2.026401
1.4672443,2.004743,1.4838911,1.9959947
1.4602379,2.0130477,1.4765272,2.0380874
1.455315,1.9602466,1.4713854,1.998031
1.4543447,1.9691206,1.470142,1.9693972
1.4642324,2.0354505,1.4804944,1.989984
1.4737308,1.9562418,1.4900235,1.9735984
1.4751083,1.9295802,1.4910476,1.9533324
1.4858738,1.9744787,1.5020213,2.0090952
1.4936935,1.889189,1.5098277,1.9512099
1.5027707,1.9090849,1.5193785,1.934411
1.5045023,1.9053752,1.5210521,1.9069415
1.49644,1.8903031,1.5127808,1.8776081
1.520833,1.8484709,1.5376871,1.8751655
1.5089386,1.9038212,1.52547,1.9210509
1.514584,1.8999356,1.5315164,1.933754
1.5178841,1.9065102,1.5351114,1.9344926
1.5263054,1.855239,1.5436512,1.8537265
1.5196575,1.8887334,1.5369058,1.8771343
1.5219185,1.8717196,1.539587,1.869533
1.5314108,1.7955502,1.5496942,1.7990948
1.5150983,1.8585212,1.5325983,1.8527424
1.4948978,1.8443909,1.5114876,1.8506438
1.4925092,1.8667319,1.509122,1.8488109
1.4907447,1.830979,1.5073276,1.8202825
1.4900104,1.8062707,1.5066373,1.8323951
1.4738848,1.7919369,1.4899137,1.8449187
1.4682037,1.7925681,1.4843318,1.8426871
1.4682622,1.8622087,1.4842868,1.8510506
1.4750783,1.8549505,1.4913145,1.8833262
1.4726832,1.8337604,1.488868,1.8240881
1.4652691,1.8543962,1.4813783,1.8137271
1.4708339,1.8124543,1.4869511,1.8131162
1.4705367,1.8315525,1.4866374,1.8384067
1.4715304,1.8621053,1.4877594,1.8025534
1.4618635,1.7649399,1.4781168,1.7931862
1.4606632,1.8086678,1.4768926,1.8544666
1.4577445,1.7917349,1.4739113,1.8185828
1.4588362,1.7883978,1.4752237,1.7857559
1.4581459,1.8257412,1.4745959,1.8002449
1.4527296,1.790254,1.4692984,1.7834921
1.461659,1.7955155,1.4786992,1.8270596
1.4654359,1.7831117,1.4825526,1.7947612
1.4626995,1.7885296,1.4798082,1.7655853
1.4586096,1.7648834,1.4759312,1.788228
1.4562268,1.7601987,1.4735035,1.8245215
1.4566654,1.7732192,1.4740341,1.7942302
1.4630694,1.7769668,1.4810194,1.7704622
1.4706255,1.7464556,1.4895481,1.7561327
1.4677746,1.7822236,1.4865112,1.7656755
1.4638999,1.7901431,1.4828157,1.7839606
1.453762,1.7347974,1.4719696,1.7435122
1.4520797,1.735398,1.470222,1.7576959
1.4491905,1.7607648,1.4668802,1.7620553
1.4544134,1.7309852,1.4727792,1.7431043
1.4562052,1.7721184,1.4744786,1.7928345
1.4576468,1.7444428,1.4762882,1.7584574
1.4564507,1.7393156,1.4750228,1.7697772
1.4631778,1.7619089,1.48189,1.779449
1.4591005,1.7369334,1.4776809,1.7630031
1.4616816,1.7468339,1.4797052,1.759363
1.4598414,1.7371455,1.4777627,1.757087
1.4598004,1.7228181,1.4777464,1.7370517
1.4570647,1.7308902,1.4749002,1.7473288
1.4530497,1.7314659,1.4709567,1.7606517
1.459116,1.7322806,1.4771917,1.7375327
1.4622296,1.73841,1.4814813,1.7642834
1.4611411,1.7190233,1.4803379,1.7289925
1.459076,1.7396822,1.4781333,1.7142549
1.4637909,1.7300507,1.4832208,1.7283059
1.4663255,1.7181809,1.4854432,1.726544
1.4717215,1.7001024,1.4907186,1.701345
1.4696902,1.6961687,1.488776,1.7080581
1.4679493,1.7064742,1.4869044,1.7269961
1.4654708,1.6984818,1.4843577,1.6933887
1.4610891,1.7238812,1.4800534,1.732514
1.4602123,1.6903322,1.4791327,1.7059524
1.4622642,1.7174568,1.4815102,1.7138318
1.4600347,1.6789153,1.4790877,1.7017642
1.4620785,1.707039,1.4812828,1.741984
1.4608226,1.7298167,1.4799439,1.7235569
1.4579284,1.6884078,1.476868,1.7178937
1.4566784,1.6992346,1.4755695,1.7074699
1.4532906,1.7202427,1.4720745,1.7294662
1.4535079,1.695252,1.4722567,1.7320011
1.4538465,1.7175186,1.4725928,1.7229899
1.4528725,1.7019835,1.4715489,1.6868469
1.4560016,1.7110909,1.4748392,1.7171942
1.4552249,1.728895,1.4740045,1.715566
