nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.4695338,5.770736,1.4768834,5.8731074
1.4666966,4.4423013,1.474272,4.545453
1.4636874,4.1180344,1.4716839,4.051612
1.4548668,3.6536405,1.4630716,3.7638254
1.4536331,3.3913305,1.4619534,3.3704
1.4536551,3.69488,1.4618849,3.5995212
1.4439344,3.4220662,1.452644,3.4320319
1.4405973,3.0845873,1.4495173,3.0663419
1.4363512,3.0645456,1.4455533,3.129633
1.4326926,3.1829104,1.4421357,3.0487137
1.4291109,3.0789487,1.4386498,3.0623178
1.4257413,3.0092738,1.4353933,2.9584744
1.4264823,2.9312027,1.4360572,3.0874453
1.428814,2.8271604,1.438272,2.8326206
1.4259098,2.7740846,1.4354513,2.752965
1.4241034,2.8126,1.4338921,2.7439167
1.4203295,2.6805537,1.4303836,2.740285
1.4170916,2.7951844,1.4276311,2.7824118
1.416897,2.782469,1.4274504,2.8255432
1.4162124,2.679772,1.4268754,2.7899911
1.4167254,2.696561,1.4273118,2.6644647
1.4160223,2.6904662,1.426717,2.7065642
1.415903,2.4716752,1.4266205,2.522644
1.4154942,2.652134,1.4263724,2.6412816
1.4165514,2.6393561,1.4272416,2.6258368
1.4145964,2.5643284,1.4257259,2.5626693
1.4147284,2.629352,1.4258145,2.6464803
1.4148253,2.478886,1.4258826,2.5474858
1.4146545,2.51825,1.4257976,2.5038052
1.4140484,2.5930345,1.4254234,2.5318744
1.4137279,2.458818,1.4253421,2.4755507
1.4136068,2.4632685,1.4253116,2.5040889
1.4136003,2.5144393,1.4255705,2.5766652
1.4138668,2.3539855,1.4259512,2.4696414
1.4142637,2.382062,1.4265442,2.4142199
1.4145035,2.3689816,1.4268849,2.38977
1.4143498,2.351478,1.4267037,2.3524683
1.4158407,2.2574685,1.4285382,2.2850606
1.4153718,2.384951,1.4279974,2.404055
1.4160652,2.3636193,1.4287989,2.4181323
1.4165124,2.4127858,1.4293497,2.4237127
1.4174631,2.2725859,1.4304103,2.282192
1.4172691,2.3394554,1.4301928,2.3245044
1.4178482,2.3226945,1.4308294,2.3088622
1.4189744,2.1738226,1.4321798,2.159669
1.4177903,2.3427262,1.4308498,2.3112574
1.4162288,2.324002,1.4290601,2.3316777
1.4162097,2.3246074,1.4290655,2.305944
1.4163023,2.2642355,1.4291694,2.2256079
1.4164314,2.221159,1.4293064,2.2821283
1.4150416,2.201838,1.4276721,2.265315
1.4147322,2.1921318,1.427314,2.2705374
1.4149001,2.3064806,1.4275081,2.282883
1.4156195,2.3337939,1.428377,2.36273
1.4155718,2.2677877,1.4283271,2.239669
1.4149591,2.3241668,1.42763,2.2620788
1.4156482,2.2310863,1.4284902,2.2052722
1.4158099,2.2921622,1.4286857,2.293711
1.4160674,2.3258832,1.4289968,2.2198606
1.4151284,2.1213517,1.427939,2.1678553
1.4151106,2.2859347,1.4279251,2.33805
1.4149543,2.1819909,1.427751,2.2125177
1.4152018,2.1929808,1.4280753,2.1580176
1.4152892,2.2951581,1.4281648,2.261244
1.4148184,2.192377,1.4276154,2.172102
1.4159471,2.2022612,1.4288995,2.24703
1.4165539,2.1734824,1.4296134,2.191862
1.4163401,2.207747,1.4293678,2.1645029
1.415795,2.1614742,1.4287609,2.190026
1.4156377,2.141792,1.4285728,2.2414405
1.4158162,2.1805804,1.4287728,2.1999645
1.4168966,2.1561706,1.4300045,2.1560044
1.4182781,2.1214402,1.4315926,2.1308272
1.4180399,2.1872358,1.4313343,2.1732187
1.4175423,2.187365,1.4307745,2.1772776
1.4159207,2.0975266,1.4289545,2.11501
1.4157642,2.0888674,1.4287715,2.1362643
1.415328,2.1281335,1.4282669,2.1300936
1.4162616,2.0767365,1.4293888,2.0891385
1.4167182,2.1515799,1.4298809,2.2012584
1.4170897,2.1268485,1.430305,2.150696
1.4170653,2.1540334,1.4302822,2.1962311
1.418329,2.1448934,1.4317943,2.182488
1.4177511,2.1211474,1.4311537,2.1480646
1.4183997,2.1427565,1.4318357,2.1490042
1.4181893,2.1202967,1.4316096,2.1469872
1.418337,2.0808094,1.4317725,2.087294
1.417958,2.11258,1.4313545,2.1165752
1.4173373,2.1122327,1.4306582,2.1477983
1.4186131,2.087158,1.432158,2.0876887
1.4195586,2.1139238,1.4332684,2.1663334
1.4195455,2.0791216,1.4332525,2.0929153
1.4192256,2.1057036,1.4329045,2.0517995
1.4201753,2.1221235,1.4338804,2.1108243
1.4210414,2.0693724,1.4347581,2.0933757
1.4224559,2.013253,1.4362719,2.0136209
1.4221523,2.0128784,1.4359405,2.0183458
1.42184,2.0556817,1.435599,2.0900302
1.4214307,2.037255,1.4351563,2.0192022
1.4203943,2.0891538,1.434026,2.1143403
1.4203498,2.0170414,1.433983,2.0554466
1.4208865,2.0736074,1.4345785,2.0774462
1.4205508,1.9820126,1.434211,2.0342705
1.421228,2.0585103,1.4349644,2.1134803
1.4211109,2.076397,1.4348407,2.0787814
1.4205813,2.0188622,1.4342618,2.0636451
1.4203796,2.0368357,1.434038,2.0475326
1.4197451,2.0884802,1.4333467,2.0964887
1.4199646,2.0256782,1.4335907,2.0804496
1.4202242,2.0634754,1.4338616,2.0725083
1.4200464,2.045491,1.4336587,2.0228043
1.4211017,2.0544987,1.4347711,2.0649638
1.4210345,2.0865512,1.4347068,2.0696166
1.4217669,1.9966887,1.435507,2.035561
1.4215965,2.1112823,1.4352826,2.0853105
1.4222605,1.9561394,1.4360079,1.9910327
1.4219942,1.9987972,1.4357193,2.029144
1.421635,1.9940423,1.4353302,2.0283575
1.4217871,2.0026987,1.4355075,2.0266953
1.4220926,2.0566585,1.4358518,2.0935743
1.4224068,1.9977984,1.4362161,1.997229
1.4233,1.9467993,1.4371693,1.9788673
1.4230388,1.9889969,1.4368919,2.0057757
1.4230759,1.9683558,1.4369355,2.0327063
1.4232873,2.010147,1.4371485,2.0302572
1.4230283,1.9718609,1.4368702,2.024853
1.4247364,1.9685229,1.4386538,1.9748173
1.4244511,2.0195658,1.4383475,2.024236
1.4238302,1.9496328,1.4376856,2.0002365
1.425036,1.9695194,1.4390213,1.9686276
1.4248688,1.9827846,1.4388441,1.9919118
1.4245585,1.9949455,1.438511,2.008977
1.4238461,2.0053906,1.4377383,2.0209193
1.4233931,1.9524776,1.4372509,1.9858459
1.4236915,1.972219,1.4375677,2.0371037
1.4245435,1.9801022,1.4384893,1.9969956
1.4233607,1.9716588,1.4372164,1.9813464
1.4241875,1.9174587,1.4380894,1.9564601
1.4242425,1.9570425,1.4381601,1.9864287
1.4240261,1.9811522,1.4379356,1.9653227
1.4232801,1.9567121,1.4371231,1.9337746
1.4233387,2.0078127,1.437195,1.9967918
1.4228538,1.9778903,1.4366684,1.9845425
1.4225333,1.9672139,1.4363296,1.9345412
1.4212625,1.9506712,1.4349762,1.9950906
1.4216598,1.9487162,1.4354156,1.9773631
1.4208502,1.9615924,1.4345355,1.960559
1.420564,1.9667946,1.4342237,1.9641631
1.4209893,1.9980949,1.4347056,1.9967259
1.4206426,2.0219305,1.434332,2.0234993
1.4202583,1.9620881,1.4339103,1.9617945
1.4199841,2.0003052,1.4336114,1.993851
1.4194148,1.948243,1.4330055,1.9828199
1.4189979,1.9251447,1.4325509,1.9668406
1.4190927,1.9206477,1.4326618,1.9123646
1.4193722,1.9501543,1.4329293,1.9674443
1.4189448,2.0156949,1.432462,1.994385
1.4188093,1.9281045,1.432314,1.9981631
1.4182814,1.9730337,1.431738,1.9720918
1.4185244,1.9827965,1.4320228,1.9701487
1.4183135,1.9170948,1.4317896,1.9413431
1.4196017,1.9389591,1.4332256,1.950004
1.4191378,1.9408226,1.4327066,1.9439726
1.419276,1.895161,1.4328599,1.8999267
1.4198371,1.938546,1.4334844,1.9597249
1.4190712,1.9408946,1.4326339,1.9240636
1.4188509,1.9060326,1.4323865,1.9233274
1.4186928,1.9132338,1.4322137,1.9541734
1.4191023,1.8772058,1.4326402,1.9226103
1.419447,1.8974824,1.4330169,1.9389865
1.419859,1.9317836,1.4334486,1.9436735
1.4202383,1.9344267,1.433848,1.9429545
1.4209802,1.9271066,1.434657,1.9110569
1.4219773,1.9382963,1.4357318,1.9651556
1.4222395,1.9208221,1.4360054,1.9419909
1.4224483,1.9110959,1.4362242,1.9429715
1.4218582,1.9487824,1.4355782,1.987658
1.422284,1.9039284,1.4360518,1.9449812
1.4219418,1.9223644,1.4356885,1.9144565
1.4223197,1.8965359,1.4360901,1.880314
1.4240133,1.9328508,1.4379137,1.9010519
1.4233179,1.9084656,1.4371629,1.9365793
1.4231604,1.9076809,1.4369956,1.9217404
1.422772,1.9698584,1.4365815,1.9750305
1.4223045,1.906937,1.4360738,1.9281727
1.4224441,1.8885921,1.4362295,1.9095124
1.4229503,1.9177703,1.4367942,1.9220381
1.4235613,1.9219702,1.4374269,1.8897467
1.4238287,1.8975359,1.4377278,1.932554
1.4236594,1.8709757,1.4375458,1.8892584
1.4242828,1.8931009,1.438179,1.897567
1.4238609,1.8715887,1.4377271,1.8867561
1.4262581,1.8697432,1.4403507,1.9111822
1.4255731,1.9154772,1.4396282,1.9020472
1.4259915,1.84654,1.440078,1.8629457
1.4280566,1.8709224,1.4422818,1.909799
1.42831,1.9214025,1.442543,1.9132112
1.4283684,1.8812293,1.4426153,1.8896269
1.4277146,1.8835723,1.4419129,1.8891568
1.4279519,1.9020743,1.4421659,1.891918
1.4277892,1.9014785,1.4419887,1.9127667
1.4274976,1.8566962,1.4416785,1.86875
1.426803,1.867236,1.4409554,1.8984482
1.42599,1.8474518,1.4401067,1.8494734
1.4255373,1.883056,1.4396199,1.9000663
1.4255925,1.8918409,1.4396651,1.8922299
1.4258851,1.8317345,1.4399886,1.8651536
1.4262727,1.8572887,1.4404008,1.8577317
1.4259478,1.8753171,1.440056,1.901677
1.4266522,1.8924577,1.4408033,1.8814307
1.4251188,1.8842492,1.4391901,1.9162611
1.425239,1.8775046,1.4393241,1.8965998
1.4253644,1.8556418,1.4394617,1.8808299
1.4268072,1.8572972,1.4410049,1.8725402
1.4259219,1.8547271,1.4400455,1.8601758
1.4262035,1.8628666,1.4403423,1.8914876
1.4265809,1.8622292,1.4407537,1.8575454
1.4266685,1.8808165,1.4408408,1.9075879
1.4267926,1.8599355,1.4409802,1.857008
1.4273597,1.8881174,1.4415846,1.9158942
1.4267184,1.841972,1.4408917,1.8925719
1.4267191,1.8257059,1.4408873,1.8426392
1.425865,1.867389,1.439976,1.8814634
1.4268438,1.8230265,1.4410311,1.8975059
1.4271324,1.83802,1.4413388,1.8732382
1.4279124,1.8503082,1.4421135,1.8877783
1.4278665,1.8655437,1.4420643,1.8650093
1.4279556,1.8794168,1.4421691,1.8866253
1.4275396,1.8483115,1.4417208,1.8829353
1.427422,1.8705889,1.441599,1.9001755
1.4269214,1.875857,1.441057,1.8771002
1.4261812,1.901914,1.4402441,1.9012169
1.4261868,1.8515208,1.4402472,1.8569914
1.4262103,1.8584207,1.4402776,1.8580275
1.4272562,1.8138328,1.441377,1.8572085
1.4274182,1.8601702,1.4415553,1.8500326
1.4275526,1.8306944,1.4416935,1.864989
1.4270368,1.8650299,1.441135,1.8682778
1.428142,1.8446882,1.4423019,1.8614018
1.428509,1.8009509,1.4427174,1.850723
1.4287307,1.8619671,1.442957,1.866616
1.4279335,1.8553222,1.442105,1.8599138
1.4278817,1.8274034,1.442058,1.8546784
1.4280632,1.8533771,1.4422464,1.8631822
1.428789,1.8465577,1.4430187,1.8715856
1.4284849,1.8396059,1.4426978,1.8465997
1.4288026,1.8364369,1.4430968,1.8552012
1.4282184,1.8310384,1.442481,1.8747066
1.4291917,1.82592,1.4435438,1.8448796
1.4284766,1.846784,1.4427899,1.8546151
1.4286863,1.8320812,1.443034,1.825364
1.4299647,1.8576075,1.4443104,1.8506557
1.4315411,1.8207593,1.4459915,1.8381753
1.4313037,1.7966886,1.4457483,1.813064
1.4318782,1.8496506,1.4463477,1.8367006
1.4328896,1.8255514,1.4473811,1.8352302
1.433289,1.8098712,1.4478174,1.8793815
1.433303,1.8436646,1.4478272,1.8346609
1.4332561,1.8137248,1.4477803,1.8219887
1.433405,1.8534606,1.4479647,1.8562015
1.4342989,1.8276149,1.4489003,1.8738117
1.4341187,1.8283787,1.4487112,1.831144
1.4330235,1.7950368,1.4475574,1.808958
1.4335387,1.8174243,1.448103,1.8286035
1.4336611,1.8065215,1.448263,1.8289796
1.4341723,1.8297218,1.4488467,1.8512187
1.4339247,1.7772698,1.4485887,1.8209969
1.4338076,1.8497504,1.4484665,1.8778821
1.4343452,1.8248956,1.4490116,1.8373321
1.4344487,1.8262126,1.4491292,1.8226032
1.4345406,1.8012336,1.4492201,1.8063095
1.4345092,1.8014406,1.4491959,1.7989928
1.4343522,1.7807955,1.449033,1.8080478
1.4344544,1.8122472,1.4491416,1.8249716
1.4347515,1.7973356,1.4494522,1.8013055
1.4349505,1.8099853,1.4496523,1.80846
1.4355643,1.8354299,1.4503057,1.8475472
1.4360137,1.7886351,1.4507481,1.8007306
1.4364306,1.7868733,1.4512031,1.7864878
1.4364432,1.7868671,1.4512196,1.7938415
1.4363527,1.7979635,1.4511364,1.8001162
1.4361017,1.8249573,1.4508729,1.8201624
1.4364406,1.8453549,1.4512084,1.8093125
1.4360037,1.7714803,1.450746,1.7984118
1.4360924,1.8117658,1.4508365,1.8230528
1.4354837,1.8154519,1.4501976,1.8193326
1.4362772,1.8104707,1.4510175,1.8264178
1.4358351,1.813139,1.4505601,1.8409101
1.4354693,1.7667346,1.4501882,1.7715218
1.4347638,1.8270303,1.4494482,1.8498857
1.4342422,1.7720748,1.4489028,1.8044859
1.434333,1.8050165,1.4490174,1.8256675
1.433939,1.8134097,1.4485978,1.8187366
1.4340189,1.7873268,1.448668,1.8172961
1.4351405,1.7735221,1.4499127,1.7993603
1.4354259,1.7825973,1.4502027,1.8179888
1.4355745,1.8097762,1.4503636,1.8220791
1.435868,1.8201799,1.4506643,1.7773315
1.4356397,1.807574,1.4504242,1.8617125
1.4353176,1.7958177,1.450082,1.7963713
1.435715,1.7359852,1.4505117,1.7703112
1.4359498,1.7840047,1.4507747,1.8024231
1.4361978,1.7866591,1.4510149,1.8099284
1.4365463,1.7749354,1.4513726,1.8030887
1.4371004,1.8116841,1.4519473,1.8467946
1.436647,1.7727858,1.4514792,1.7988088
1.4371909,1.7895184,1.4520344,1.806474
1.4374955,1.7950759,1.4523523,1.8232857
1.4380859,1.7988298,1.4529476,1.8196942
1.4380479,1.7817601,1.4528935,1.790115
1.4383807,1.8096918,1.4532663,1.8024399
1.4391106,1.7710122,1.4540445,1.7925675
1.4398075,1.7691036,1.454702,1.7886965
1.4394633,1.7866731,1.4543457,1.7888732
1.4392309,1.7744539,1.4541037,1.7929181
1.439717,1.8005757,1.4546236,1.7852696
1.4386692,1.7490119,1.4535248,1.7519977
1.4387083,1.75957,1.4535658,1.802119
1.438627,1.7592819,1.4534876,1.7674909
1.4382316,1.7878965,1.4530866,1.7898601
1.4382836,1.7534919,1.453147,1.7953256
1.4378488,1.7843618,1.4526998,1.8036275
1.4379631,1.7869103,1.4528197,1.7737987
1.4378128,1.8201593,1.4526604,1.7991439
1.4368943,1.759828,1.451703,1.772829
1.4375962,1.8223813,1.4524219,1.8140802
1.4378351,1.7611817,1.4526637,1.7705778
1.4375714,1.7533115,1.4523855,1.7989256
1.4374334,1.749412,1.4522419,1.76078
1.4377106,1.7563052,1.4525374,1.8041799
1.4372195,1.7490411,1.4520353,1.7672397
1.4373428,1.7683568,1.4521483,1.8056335
1.4370836,1.7788777,1.4518768,1.8149495
1.436649,1.7605934,1.4514244,1.774438
1.4366196,1.7758782,1.4513628,1.7769587
1.4364973,1.8150038,1.4512333,1.8424056
1.4369469,1.7397474,1.4517102,1.778503
1.4371625,1.7642914,1.4519281,1.7840497
1.4370654,1.7871921,1.4518234,1.8073514
1.4374559,1.8006345,1.4522353,1.7843331
1.4371998,1.7417055,1.451969,1.7457008
1.4371235,1.7409221,1.4518906,1.7481115
1.4362098,1.7958809,1.4509395,1.7987281
1.4364134,1.7819613,1.4511324,1.791504
1.4357967,1.7745086,1.4504964,1.7864177
1.4363701,1.765838,1.4511253,1.7866031
1.4362005,1.7937478,1.450948,1.8171062
1.4360068,1.7285122,1.4507455,1.7563399
1.4361389,1.7586918,1.4508836,1.7460613
1.4364582,1.7751987,1.4512135,1.782093
1.4375793,1.7676747,1.4523902,1.7607055
1.4377182,1.751113,1.4525508,1.7741034
1.4384239,1.7790662,1.4533199,1.8148978
1.4386829,1.7682334,1.453625,1.7728
1.4380153,1.7523812,1.4529271,1.7845759
1.4377004,1.7675221,1.4525924,1.7994684
1.4371588,1.7585739,1.4520415,1.7688775
1.4370106,1.7535464,1.4518844,1.7670734
1.4369682,1.785673,1.4518362,1.7950006
1.4367628,1.7526534,1.4516219,1.7832313
1.4364432,1.7313093,1.4512882,1.7659686
1.4366482,1.7556432,1.4514942,1.7967726
1.4364707,1.784409,1.4513078,1.808002
1.4358565,1.7535689,1.4506875,1.7489359
1.4360719,1.7393949,1.4509279,1.7682809
1.4362421,1.7744172,1.4511118,1.7945237
1.4364946,1.7712194,1.4513785,1.7782902
1.4360496,1.7669015,1.4508992,1.7903922
1.4354613,1.7481878,1.4502872,1.753607
1.4353945,1.7339069,1.4502155,1.7574992
1.4349737,1.7664905,1.4497774,1.7799674
1.4354949,1.751714,1.4503253,1.7686131
1.435158,1.7580056,1.4499748,1.7685668
1.4347248,1.7751428,1.4495264,1.7814051
1.4348274,1.7522978,1.4496322,1.7880161
1.4359695,1.7306485,1.4508096,1.7297931
1.4360197,1.777736,1.450835,1.795367
1.4355254,1.737397,1.4503198,1.7713825
1.4356346,1.7289393,1.4504088,1.7672414
1.4357593,1.7368492,1.450555,1.7341596
1.4356767,1.7388173,1.4504654,1.7608721
1.4349356,1.7685082,1.4496734,1.741919
1.4353323,1.7600021,1.4501146,1.7583418
1.4351168,1.7596568,1.449887,1.7794161
1.435781,1.7456589,1.4505919,1.7634422
1.4360838,1.7592704,1.4509087,1.7631177
1.435781,1.7295387,1.450587,1.7555522
1.4360188,1.7373426,1.4508301,1.7907739
1.436022,1.7471488,1.4508365,1.7672887
1.4365467,1.7254035,1.4513873,1.7692509
1.4366533,1.7765132,1.4515028,1.7659808
1.4365543,1.7367103,1.4513999,1.7558026
1.4366553,1.7212563,1.4515045,1.7641869
1.4365408,1.7371299,1.4513855,1.7448595
1.4364523,1.7525105,1.4512942,1.7853942
1.4351878,1.7610462,1.4499779,1.7614545
1.4352403,1.7468466,1.4500357,1.7640835
1.4355482,1.7509806,1.4503489,1.7943282
1.4353995,1.7622207,1.450192,1.7764755
1.435576,1.7227134,1.4503736,1.7665933
1.435311,1.7462441,1.4500972,1.7827662
1.4357811,1.7481437,1.4505782,1.7679518
1.4356472,1.7496799,1.4504375,1.7725028
1.436143,1.7342767,1.4509755,1.7853059
1.4356905,1.7364465,1.4504944,1.7736872
1.4356055,1.7357255,1.4504117,1.769304
1.4348719,1.7556186,1.4496498,1.7558762
1.4351503,1.7416767,1.449949,1.7623881
1.4351002,1.7533109,1.4498962,1.7598276
1.4347994,1.7718117,1.4495891,1.7707334
1.4349024,1.7159418,1.44971,1.7657821
1.4348215,1.7498418,1.4496284,1.7467271
1.4347264,1.7430559,1.4495261,1.7400031
1.4350517,1.7253536,1.4498521,1.7471962
1.4356697,1.7624656,1.4505113,1.763655
1.4353933,1.7488439,1.4502232,1.7721418
1.4347094,1.7431128,1.4494947,1.7658455
1.4354593,1.7527931,1.4502988,1.7551267
1.4359156,1.7419477,1.4507838,1.7433856
1.4370042,1.7512428,1.4519126,1.7490433
1.4367294,1.7423593,1.4516287,1.7678118
1.4370052,1.700025,1.4519066,1.7515999
1.4371454,1.7229178,1.4520415,1.743321
1.4373016,1.7569518,1.4522127,1.771818
1.4380057,1.7415394,1.4529648,1.7581756
1.4381212,1.7062091,1.453101,1.7295275
1.4375935,1.714524,1.4525467,1.727595
1.4378394,1.7222725,1.4528121,1.7410156
1.4381351,1.7481189,1.4531229,1.748419
1.4382014,1.7208759,1.4532015,1.7141536
1.4379938,1.7516255,1.4529834,1.7577283
1.4379479,1.715335,1.4529352,1.7149351
1.4385831,1.7610816,1.453593,1.7458481
1.43939,1.7347965,1.4544337,1.7709706
1.4387693,1.7318336,1.4537843,1.7475084
1.4395121,1.7556977,1.4545848,1.7476209
1.4391971,1.7556436,1.454249,1.7689198
1.4386253,1.7202402,1.453644,1.7415106
1.438252,1.7045234,1.4532669,1.7247671
1.4380848,1.7096316,1.4530932,1.7419454
1.4384956,1.7463032,1.4535267,1.8044003
1.439644,1.7375458,1.4547199,1.7480778
1.4407074,1.7097127,1.455822,1.7108884
1.4410274,1.7535316,1.4561579,1.7485443
1.441893,1.7397225,1.4570484,1.7505409
1.4419732,1.7171617,1.457134,1.7477926
1.4422834,1.7555522,1.4574645,1.7670453
1.4418734,1.7491438,1.4570372,1.7513676
1.4421211,1.7225859,1.457303,1.7242376
1.4419746,1.7322053,1.4571486,1.7317924
1.441593,1.7233251,1.4567413,1.7315133
1.4414352,1.7410808,1.4565765,1.7447039
1.4418054,1.725368,1.456947,1.7460327
1.4420685,1.7216171,1.4572332,1.7554784
1.4427743,1.7265965,1.4579637,1.7376368
1.4430398,1.7221153,1.4582071,1.7389237
1.4432127,1.7254573,1.458366,1.7496079
1.4431692,1.7476373,1.4583262,1.7236879
1.442871,1.6921074,1.4580171,1.7417271
1.4430548,1.7122643,1.4582171,1.737476
1.4428213,1.7019134,1.4579791,1.7109356
1.4429109,1.7160187,1.458066,1.7388653
1.4435135,1.724487,1.4586614,1.7500337
1.4428458,1.7285124,1.4579757,1.7499518
1.4430108,1.7122731,1.4581378,1.7455392
1.443264,1.7103934,1.4584092,1.7224281
1.4439449,1.7052343,1.4591355,1.7202953
1.4438504,1.7047544,1.4590416,1.7256068
1.4425913,1.7406691,1.457744,1.7258822
1.4423655,1.694169,1.4575092,1.7346632
1.4418658,1.7362026,1.4569862,1.7313278
1.4418042,1.6857305,1.4569283,1.7396842
1.4414426,1.7203243,1.4565485,1.7521294
1.440928,1.7096555,1.456014,1.7313515
1.4413836,1.6866184,1.456492,1.730323
1.4409189,1.6895328,1.4560192,1.6995381
1.4415741,1.7043427,1.4566907,1.6993843
1.4416478,1.7198015,1.4567723,1.7126048
1.4407945,1.7020738,1.4557801,1.7340779
1.4402395,1.7186416,1.4552048,1.7388037
1.4411114,1.7310388,1.4560528,1.7466375
1.4410881,1.7332498,1.4560269,1.7293018
1.4410838,1.7167784,1.4560198,1.7648562
1.4408385,1.6979868,1.4557662,1.7313256
1.4415355,1.6857531,1.4565083,1.7319349
1.4415741,1.7192458,1.4565547,1.7445072
1.4420389,1.7113405,1.4570254,1.7531582
1.4418828,1.7156273,1.4568616,1.7201993
1.4419576,1.7364665,1.4569565,1.7236544
1.4418492,1.7023406,1.4568441,1.719778
1.4415615,1.7479694,1.4565506,1.7866086
1.4414026,1.7078536,1.4563861,1.7270715
