nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.414263,5.6781416,1.423828,5.824939
1.4171962,4.6493855,1.4272451,4.752304
1.41409,4.335826,1.4251385,4.284233
1.4206419,3.4822278,1.4335806,3.6437511
1.4180304,3.5059874,1.428607,3.4488943
1.4561442,3.4524696,1.4654591,3.3507307
1.4278383,3.2233462,1.4413859,3.2396767
1.4190927,3.0841393,1.43217,2.9790804
1.4323006,2.8050067,1.446053,2.8325644
1.4478253,2.8191411,1.4620526,2.7227638
1.4767449,2.7239602,1.4915864,2.6813333
1.5392579,2.7492528,1.5552012,2.7074049
1.4099426,2.725696,1.4219339,2.7697148
1.6174278,2.6330652,1.6248115,2.66278
1.4183741,2.3060145,1.4295889,2.2981331
1.4105612,2.431873,1.4224117,2.3568199
1.5616509,2.46668,1.5773785,2.499084
1.8485059,2.644239,1.8666923,2.5971317
1.5245672,2.430834,1.5398682,2.4768324
1.4788043,2.3781996,1.4934239,2.471136
1.4258031,2.2202103,1.4367806,2.2516904
1.4099971,2.215526,1.4221745,2.2269018
1.4195262,2.1002333,1.4308195,2.0732396
1.4242581,2.1574,1.4353445,2.1264055
1.7092161,2.5171833,1.7162046,2.5416498
1.4381274,2.1442397,1.4518751,2.1321638
1.4177766,2.2554157,1.429135,2.2472548
1.4528289,2.0953627,1.4630733,2.1454346
1.4461622,2.117429,1.456535,2.1051679
1.4289947,2.0808096,1.4425173,2.1160166
1.5212983,2.1272235,1.5366738,2.1630344
1.4652663,2.1072161,1.4796907,2.1443324
1.5734198,2.1382244,1.5894749,2.1948168
1.6219361,2.0285375,1.6385169,2.0628126
1.667001,2.3732018,1.6840286,2.4355721
1.5627984,2.24097,1.5787187,2.32583
1.4175316,1.9337481,1.4305294,1.9657178
1.815031,2.330128,1.8333077,2.3252523
1.4247,1.9975637,1.4380348,2.0275457
1.4634774,1.9362003,1.4778671,2.0046504
1.4849707,2.1127691,1.499765,2.1089404
1.5832356,2.0633984,1.5993873,2.094462
1.4275507,2.0024917,1.4409943,2.0265365
1.439323,2.0455368,1.4531422,2.018703
1.5324285,2.010374,1.5479758,1.9981034
1.4432505,1.9413387,1.4536695,1.9304339
1.8195577,2.53146,1.8255467,2.5182092
1.6622808,2.1416879,1.6696025,2.170215
1.5368892,1.9421203,1.5456249,1.9411898
1.4642503,1.9416513,1.4741871,1.9573433
1.9623419,2.4524584,1.9673454,2.4745057
1.9496219,2.353425,1.9547127,2.3949747
1.6367205,2.0156493,1.6443064,2.0170624
1.4116676,1.8831073,1.4234616,1.8765992
1.4218937,1.8581643,1.4330282,1.8465565
1.7194214,2.203489,1.7262287,2.1736991
1.4231802,1.8369379,1.4342632,1.8445504
