nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.4214038,5.0761447,1.4313347,5.1834593
1.4245502,4.0181823,1.4344139,4.096756
1.4225318,3.749226,1.4335538,3.7036312
1.4188755,3.0311887,1.4318255,3.1564322
1.4141102,3.0427027,1.4252174,3.0046358
1.4323031,3.149358,1.4423995,3.0505438
1.431373,2.8875394,1.4451346,2.9093714
1.4382545,2.7745779,1.4522334,2.708173
1.439925,2.5624712,1.4539579,2.5692327
1.4584634,2.5682728,1.4729724,2.4814866
1.5268257,2.5175142,1.5427363,2.4857826
1.6133629,2.5549726,1.6304319,2.5200393
1.4265826,2.4786866,1.4399104,2.5253282
1.4538522,2.3544774,1.4632334,2.3808668
1.4104441,2.2047086,1.4225093,2.195937
1.4122494,2.2993963,1.4245528,2.2341146
1.5703404,2.278206,1.5863452,2.3095021
1.7698843,2.4048042,1.7879976,2.3660088
1.5279108,2.2662063,1.5434602,2.2979906
1.5019561,2.1991396,1.517138,2.282796
1.4114352,2.10549,1.4230094,2.1136324
1.4123806,2.1211998,1.4247848,2.1121614
1.4105567,1.9991668,1.4223019,1.9813417
1.412188,2.0325549,1.4237171,2.0061634
1.56861,2.215244,1.5768509,2.2225566
1.41444,2.148411,1.4256341,2.1430156
1.4422042,2.2611864,1.4523175,2.2433279
1.4658256,2.0868063,1.4754971,2.1407738
1.4567642,2.137953,1.4665885,2.1126628
1.4116194,2.0402281,1.4239066,2.0656652
1.4291309,2.066885,1.4425062,2.0898697
1.4300189,2.0526688,1.4433744,2.0767567
1.5055468,2.1243742,1.520685,2.1823485
1.5598224,1.9846773,1.5757184,2.0306349
1.6391541,2.2549946,1.6560855,2.3174028
1.5608687,2.1786435,1.5768567,2.2650573
1.4456356,1.9471165,1.4595706,1.9860824
1.8711673,2.3182318,1.8900555,2.30348
1.5090747,1.9946752,1.524206,2.0132062
1.4876562,1.9211676,1.5024849,1.9829601
1.4425322,2.089129,1.4563677,2.0750372
1.5092857,2.0372586,1.5244849,2.0635512
1.4311087,2.0379808,1.4445877,2.0503566
1.4440376,2.0784435,1.4579232,2.0450268
1.506214,2.0111463,1.5214009,1.975055
1.4141204,1.908584,1.4255557,1.8964156
1.6073558,2.2515733,1.6149566,2.231726
1.5578136,2.0580003,1.5660139,2.093708
1.5125797,1.9749644,1.5214317,1.9695753
1.4861516,1.998329,1.4954255,2.0246966
1.8250179,2.3586888,1.8306581,2.3767905
1.842244,2.2696168,1.8478523,2.3186936
1.6485364,2.1052988,1.6557943,2.099358
1.4379381,1.9936415,1.4484369,1.9792506
1.4432335,1.9340962,1.4535874,1.9120318
1.6547042,2.238738,1.6619499,2.1878805
1.4466116,1.9402069,1.4569124,1.9206734
1.4355814,1.9685766,1.4461657,2.0102403
1.4132184,1.8469374,1.4248838,1.8728719
1.5578501,1.9777118,1.5662162,2.0115895
1.507814,2.000594,1.5169686,2.0025592
1.5217168,1.8926963,1.5306636,1.8955318
1.4258353,1.812234,1.4368697,1.8020477
1.5045838,2.137328,1.5134205,2.1759248
1.6490445,2.2276175,1.6560119,2.1994135
1.412852,1.9391534,1.4243971,1.9816742
1.4236146,1.8724084,1.4369762,1.8909003
1.4099742,1.9447912,1.422176,1.9266034
1.480052,2.0063536,1.4894284,2.0451543
1.48529,1.9264896,1.4945978,2.0069993
1.4537297,1.9455696,1.4637496,1.9829575
1.4129126,1.8634754,1.4257022,1.9089742
1.5061058,1.9569528,1.5215414,1.9587774
1.4215667,1.9404554,1.4348627,1.966414
1.4216595,1.9184209,1.4327264,1.8964882
