nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.4790293,7.447856,1.4862293,7.569414
1.4787563,7.1307273,1.4859715,7.2985272
1.4785278,6.8164234,1.4857932,6.7197986
1.4781034,6.4446373,1.4853709,6.750146
1.4779164,6.2485785,1.4851949,6.079222
1.4777803,6.9569354,1.4850506,6.7092524
1.4772506,6.6436734,1.4845413,6.6509323
1.4769796,5.9279437,1.4842814,5.7301884
1.4765811,5.7936473,1.4838982,5.984015
1.4762647,5.9707,1.4835922,5.605877
1.4759134,6.048271,1.4832364,5.902945
1.4755433,5.7817936,1.4828593,5.587283
1.4755116,5.9751434,1.4828199,6.1554084
1.4756148,5.4259925,1.4829383,5.4468923
1.4752785,5.3261385,1.482589,5.182637
1.4750005,5.5357413,1.4823304,5.367813
1.4744434,5.4285097,1.4817649,5.464678
1.4738382,5.5133467,1.4811803,5.3851724
1.4737078,5.750292,1.4810472,5.854486
1.4734251,5.413671,1.480767,5.7546124
1.4734373,5.5235,1.4807928,5.447849
1.4731735,5.542696,1.4805326,5.5185375
1.4730428,4.8194566,1.4804021,4.810638
1.4728113,5.374755,1.4801939,5.3027678
1.472981,5.4125156,1.4803556,5.3821797
1.472282,5.2286234,1.4796805,5.3432674
1.4722451,5.5701404,1.4796467,5.5176334
1.4721944,4.73136,1.4795928,4.9474163
1.4720279,5.0877347,1.4794524,5.0280304
1.4716042,5.0647864,1.479043,5.0026574
1.4712158,5.0297503,1.4786814,5.031472
1.4710035,4.940713,1.4784971,5.062438
1.4705747,5.248102,1.4780936,5.430844
1.4702227,4.677862,1.4777489,4.993893
1.4698724,4.7895856,1.4774158,4.917895
1.469649,4.69569,1.477211,4.852209
1.469586,4.6728044,1.4771513,4.775098
1.4689347,4.484794,1.4765242,4.486789
1.4689522,4.799597,1.4765365,4.808807
1.4686363,4.785872,1.476226,4.95678
1.4683818,5.0283856,1.4759771,4.980138
1.4680753,4.439024,1.4756753,4.5388336
1.4679954,4.695797,1.4756033,4.6414704
1.4677575,4.882215,1.4753597,4.7169685
1.4674476,4.176815,1.475065,4.032016
1.4675723,4.806269,1.4751846,4.6424036
1.4678239,4.7843695,1.475428,4.7478557
1.4677098,4.576911,1.4753205,4.6387873
1.4675847,4.448412,1.4751996,4.312643
1.4674655,4.352421,1.4750752,4.5636926
1.4677932,4.2743616,1.4753925,4.3426685
1.4678011,4.261237,1.4754024,4.542214
1.4675992,4.485045,1.4752129,4.4123473
1.4672393,4.7989607,1.4748709,4.7529817
1.4671644,4.5124803,1.4747999,4.446953
1.4673121,4.7889266,1.4749434,4.663759
1.4669567,4.3557544,1.4746102,4.2422376
1.4668128,4.73493,1.4744714,4.7774773
1.4666023,4.799117,1.474266,4.564892
1.4668208,3.9755242,1.4744781,4.1375113
1.4667034,4.7437854,1.4743661,4.8200817
1.4666493,4.186961,1.4743189,4.254305
1.4664316,4.2670875,1.474105,4.134522
1.4663014,4.7626376,1.4739717,4.763708
1.4663831,4.3491154,1.4740511,4.227404
1.465873,4.298159,1.4735494,4.4354315
1.4655674,4.238499,1.4732589,4.2514725
1.4655205,4.4681234,1.4732162,4.3614173
1.4656316,4.284004,1.4733285,4.3431177
1.4655805,4.18185,1.473275,4.4282966
1.4654212,4.4790087,1.4731178,4.5134788
1.4650065,4.218318,1.4727101,4.294838
1.464544,4.1536813,1.4722587,4.201601
1.4644918,4.605288,1.4722122,4.573802
1.4645245,4.313419,1.4722489,4.268055
1.464976,4.0068226,1.4726918,4.1313176
1.4649285,4.159795,1.4726487,4.333077
1.465015,4.0179596,1.4727296,4.0782943
1.4645627,3.898987,1.4722884,3.914123
1.4643111,4.227516,1.472044,4.425194
1.4641255,4.3050857,1.4718555,4.3022957
1.4640317,4.5229626,1.4717716,4.5870314
1.4635487,4.2445416,1.471326,4.4238315
1.4636035,4.3198133,1.4713805,4.3206835
1.4633183,4.427038,1.4711154,4.4133744
1.4632876,4.25048,1.4710819,4.2511444
1.4631476,4.027001,1.4709463,4.071134
1.4631597,4.2195764,1.4709623,4.1791024
1.4632477,4.2320848,1.4710511,4.263199
1.462775,4.102901,1.4706045,4.1262274
1.4624307,4.350056,1.4702679,4.5323815
1.4623408,4.192952,1.4701821,4.2309594
1.4623349,4.193444,1.4701854,4.0077467
1.4620897,4.4776697,1.4699415,4.4361734
1.4617798,4.17635,1.4696412,4.285815
1.4613726,3.7894971,1.469253,3.7982452
1.4613377,3.7996025,1.4692324,3.7723198
1.4613333,4.0889425,1.4692289,4.218962
1.4613259,3.9289756,1.4692222,3.857974
1.4614886,4.227766,1.4693818,4.2776446
1.4614192,3.8383543,1.4693114,4.0328097
1.4612578,4.232353,1.4691634,4.314397
1.461241,3.8051631,1.4691461,4.0128655
1.46098,4.098435,1.468899,4.1871977
1.4609214,4.1610436,1.4688421,4.1690793
1.4609538,3.9813974,1.4688731,4.0521812
1.4609082,3.9918723,1.4688252,4.0771284
1.4609607,4.1936235,1.4688766,4.227696
1.460813,3.8606355,1.4687387,4.0069013
1.4606609,4.111071,1.468588,4.1207976
1.4606307,3.9461224,1.4685704,3.899055
1.4602757,3.9971428,1.4682251,4.0667734
1.4602039,4.136711,1.4681569,4.0801644
1.4599378,3.6968975,1.4678996,3.874396
1.4599239,4.4256883,1.4678851,4.345876
1.4596814,3.57103,1.4676539,3.652837
1.4596422,3.7528312,1.4676163,3.881061
1.4596329,3.806355,1.4676064,3.899623
1.4595098,3.8208342,1.4674915,3.94067
1.459355,4.162934,1.4673448,4.2720075
1.4591987,3.8345356,1.4671859,3.8244255
1.4589225,3.5715117,1.4669234,3.6983595
1.4588885,3.8965127,1.4668891,3.8605318
1.4588096,3.736642,1.4668102,3.9418793
1.4586861,3.967503,1.4666927,3.9613912
1.4586533,3.7857974,1.4666634,3.9505248
1.4581926,3.6637836,1.466211,3.6280553
1.4581712,3.9702623,1.4661876,3.9603024
1.4582391,3.700645,1.4662597,3.8716877
1.4579011,3.720112,1.4659334,3.6849298
1.4578424,3.8051794,1.4658787,3.809514
1.4578099,3.8429518,1.4658477,3.8695765
1.4578819,3.9492977,1.4659176,4.0919757
1.4578745,3.6844742,1.4659092,3.8165927
1.4577398,3.881935,1.4657769,4.0341845
