nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.4775642,6.9759903,1.4847685,7.0963984
1.4767394,6.0020146,1.4839946,6.1429124
1.4760998,5.604345,1.4834881,5.5308723
1.4744332,5.154701,1.4818411,5.374976
1.4739223,4.894484,1.4813628,4.793041
1.4736154,5.415871,1.4810367,5.2482486
1.471569,5.091913,1.4790703,5.077688
1.4706347,4.522877,1.4781777,4.422822
1.4693099,4.4527354,1.4769096,4.5749764
1.4681673,4.6646943,1.4758116,4.409488
1.4669154,4.6174517,1.4745604,4.5437875
1.465615,4.441933,1.4732581,4.2999597
1.465638,4.463228,1.4732628,4.650998
1.4662155,4.1491137,1.4738628,4.156332
1.465085,4.042113,1.4727191,3.9700882
1.4641749,4.1654353,1.4718722,4.0484014
1.4622571,4.0257354,1.4699627,4.0816765
1.4601167,4.1761117,1.4679091,4.1213574
1.4597752,4.253728,1.4675674,4.3164735
1.4589466,4.036029,1.4667598,4.2549973
1.4591879,4.0782385,1.4670223,4.021784
1.4583733,4.0536866,1.4662303,4.065282
1.4580513,3.614002,1.4659152,3.6470904
1.4574767,3.9680994,1.4654044,3.9248831
1.4582163,3.9896386,1.4661157,3.9619563
1.4558907,3.8421772,1.4638906,3.8834956
1.4558852,4.040166,1.46389,4.0330186
1.4558327,3.6004093,1.4638317,3.7347023
1.455473,3.7621448,1.4635328,3.7153268
1.4541588,3.794336,1.4622767,3.7251544
1.4530554,3.6442056,1.4612551,3.6550643
1.4525502,3.6643903,1.4608177,3.7491384
1.4512926,3.8045392,1.4596431,3.9284961
1.450273,3.4557643,1.4586577,3.6755912
1.4493134,3.5173736,1.4577574,3.5854228
1.448732,3.4794521,1.457226,3.5606468
1.4486661,3.4522996,1.4571662,3.4958415
1.4468216,3.2909093,1.4554107,3.3161688
1.4469962,3.5374968,1.4555701,3.5588517
1.446158,3.5074556,1.4547584,3.6158712
1.4455582,3.6526666,1.4541827,3.6209219
1.444744,3.2983594,1.4533964,3.344864
1.4446272,3.4529605,1.453296,3.423267
1.4440639,3.4879599,1.4527318,3.4182363
1.4432633,3.1251228,1.4519843,3.0566337
1.4437217,3.520908,1.45242,3.437004
1.4445521,3.5007005,1.45321,3.4993494
1.4443455,3.406184,1.4530208,3.417213
1.4440753,3.3137445,1.4527634,3.2228618
1.4438254,3.2239518,1.4525089,3.3617108
1.444857,3.1899974,1.453493,3.263328
1.444997,3.1625504,1.4536312,3.330214
1.4445544,3.3527677,1.4532189,3.3045099
1.4436544,3.4815817,1.4523746,3.4897804
1.4435213,3.315968,1.4522516,3.2663074
1.4440085,3.4799714,1.4527186,3.3864636
1.4431133,3.2289264,1.4518899,3.165155
1.4428067,3.426438,1.4516,3.440591
1.4423616,3.4670768,1.4511725,3.2934487
1.4430444,2.976228,1.4518256,3.0806186
1.4428405,3.4415038,1.4516349,3.507311
1.4427999,3.123521,1.4516059,3.168892
1.4423255,3.157126,1.4511491,3.0740993
1.4420663,3.4402819,1.4508873,3.4111986
1.442393,3.1926293,1.4511963,3.1321027
1.4411519,3.1896625,1.4499954,3.274504
1.4404749,3.1389816,1.4493637,3.1618323
1.4404422,3.254501,1.4493353,3.1828918
1.4408017,3.1468983,1.4496827,3.19537
1.4407564,3.0892467,1.4496326,3.2609036
1.4404337,3.2191896,1.4493183,3.2429333
1.4394552,3.1051672,1.4483733,3.1327524
1.4383857,3.0610678,1.4473491,3.0852056
1.4383445,3.2665331,1.447317,3.2515836
1.4385114,3.172478,1.447481,3.1479423
1.4396447,2.999031,1.4485748,3.0635893
1.4396077,3.0127969,1.4485441,3.122375
1.4398972,3.0126731,1.4488173,3.0382571
1.4388611,2.9355514,1.4478277,2.9493148
1.4383316,3.098618,1.4473221,3.2146738
1.4379406,3.1216805,1.4469317,3.149585
1.4377867,3.2331843,1.4467977,3.2924128
1.4367281,3.1082337,1.4458455,3.2066698
1.4369271,3.1228669,1.4460357,3.142155
1.4363436,3.166688,1.4455044,3.1608417
1.4363389,3.1072872,1.4454943,3.1320324
1.4360973,2.9756427,1.4452637,2.992134
1.4361922,3.0883467,1.4453596,3.0752778
1.4364623,3.0834575,1.445617,3.117712
1.4354804,3.0012794,1.4447143,3.0095584
1.4347963,3.1161234,1.4440584,3.2312808
1.4346546,3.0293093,1.4439265,3.0556173
1.4347152,3.0496292,1.4439981,2.9317667
1.4342068,3.182435,1.4434972,3.1525967
1.4336216,3.0065563,1.4429395,3.0660794
1.4328129,2.8281825,1.442188,2.832607
1.4328148,2.8207288,1.4422098,2.813493
1.4328609,2.9744093,1.4422531,3.0412207
1.4329106,2.9087548,1.4423003,2.8663657
1.4333148,3.0671587,1.4426802,3.109854
1.4332227,2.8599415,1.4425883,2.9667017
1.4329382,3.0228949,1.442334,3.0622818
1.4329677,2.7935863,1.4423608,2.9145694
1.432496,2.9795213,1.4419268,3.06095
1.4324324,3.0071661,1.4418668,3.0166347
