nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.699241,4.7877192,1.7040099,4.9208636
1.5012414,3.6109476,1.509186,3.7031336
1.4511971,3.432328,1.4613522,3.3859656
1.4125806,2.7930152,1.424086,2.8837273
1.4364456,2.8320718,1.4466677,2.7952085
1.4427308,3.0433242,1.452516,2.9581778
1.4291123,2.747126,1.442951,2.7680337
1.4450204,2.6397321,1.4596294,2.591276
1.4631913,2.4694366,1.4786606,2.4623642
1.4347614,2.4611785,1.4489647,2.383966
1.4943851,2.4368565,1.5101,2.3963828
1.6179575,2.472925,1.6356925,2.4296293
1.4122642,2.4619477,1.424727,2.4969542
1.4440088,2.3462722,1.4536128,2.3814573
1.4111822,2.2560418,1.4220874,2.2373562
1.410258,2.341183,1.4216506,2.2657492
1.5221714,2.2408268,1.5375228,2.2672458
1.7987511,2.395435,1.817456,2.3691552
1.7007259,2.3210707,1.7170036,2.3298728
1.4418197,2.1796513,1.4554752,2.2962105
1.4192057,2.2312317,1.4296323,2.2394142
1.409963,2.2179012,1.4215937,2.2030535
1.4117477,2.0873716,1.4231422,2.0762382
1.4145606,2.1631885,1.4255222,2.1603627
1.5324479,2.3772326,1.540366,2.3911843
1.4422691,2.1122634,1.4561946,2.1174185
1.4099449,2.16936,1.4219577,2.1578333
1.4147686,2.0301511,1.4259442,2.0966206
1.4148523,2.0922368,1.4260906,2.071532
1.4288793,2.0420313,1.4424812,2.086889
1.4094002,2.126318,1.4217535,2.1514447
1.4104125,2.1033828,1.4235948,2.132112
1.4860109,2.1495028,1.5032245,2.2299106
1.4842675,1.9908681,1.5011495,2.0382476
1.5064416,2.170321,1.5235637,2.2161593
1.4862652,2.1473777,1.5032979,2.2171803
1.4315809,2.0450718,1.4469339,2.0714061
1.6120738,2.2412252,1.6349612,2.2222981
1.4446276,2.1448526,1.4590489,2.1448073
1.4666234,2.0931878,1.4823846,2.145522
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
