nll,nlpd,nll_val,nlpd_val
1.4795005,8.086901,1.486702,8.109493
1.4445882,6.691872,1.4522334,6.8543735
1.4376949,6.0432673,1.4462308,6.2109857
1.4338988,5.8129888,1.4437009,5.7433686
1.4205391,5.132668,1.4309026,5.3797216
1.4237509,5.1484838,1.4338367,5.0084753
1.4282515,5.209214,1.4380145,5.0470176
1.4124944,5.151504,1.4234337,5.169437
1.4113195,4.7331166,1.4224222,4.5213323
1.4098406,4.333367,1.4214551,4.441371
1.4107078,4.3334036,1.422691,4.121713
1.4144976,4.2749753,1.4269538,4.1595197
1.4239473,4.160861,1.437062,4.02986
1.4119425,4.4632564,1.4240972,4.4971147
1.4138197,3.8969212,1.4246181,3.9280798
1.4097537,3.6624305,1.4214076,3.584367
1.4099253,3.9195487,1.421817,3.7567425
1.4273906,3.7216344,1.4408667,3.746673
1.4762874,3.6084507,1.4913836,3.503213
1.4591739,3.8785431,1.473872,3.9147248
1.4588513,3.6492145,1.4735681,3.909691
1.426807,3.3989437,1.4403509,3.4464772
1.4324082,3.577769,1.4461788,3.5573995
1.42177,3.2641218,1.4350604,3.194355
1.4199136,3.3832057,1.4330732,3.3422968
1.4123901,3.5275342,1.4237055,3.5912619
1.4312093,3.3910367,1.4449805,3.4157276
1.4140548,3.6577942,1.4268141,3.5822847
1.4098761,3.0845861,1.4220403,3.2056372
1.4097439,3.2914484,1.4218472,3.2484093
1.4210808,3.116871,1.434399,3.1782355
1.4458594,3.1513567,1.4601638,3.187297
1.4423342,3.0879319,1.4564608,3.1584072
1.4800037,3.226647,1.4950992,3.35831
1.5091759,2.7957134,1.5248766,2.9047644
1.538108,3.132873,1.5543588,3.2618606
1.5238702,3.143372,1.5398543,3.338638
1.4623653,2.8888972,1.4770362,2.9802697
1.5991515,3.033705,1.6162659,2.9805744
1.4806285,2.974818,1.4956949,3.0120265
1.4947078,2.7826223,1.5100453,2.9398465
1.5061803,3.10479,1.5217464,3.0764549
1.5467486,2.8614392,1.563015,2.907844
1.4764514,3.0137055,1.4914161,3.0279784
1.4803233,3.1169274,1.4953855,3.0073845
1.5213188,2.7611816,1.5370363,2.659668
1.4235197,2.6799636,1.4367985,2.625138
1.4281781,2.9417062,1.4387726,2.8924105
1.4318913,2.7034156,1.4423617,2.8193119
1.4284961,2.594461,1.4391227,2.577437
1.4231439,2.6282396,1.4340605,2.6850038
1.5390098,2.7785275,1.5474244,2.8150187
1.5755868,2.7222967,1.58354,2.873085
1.5268714,2.6572566,1.5355008,2.6339312
1.4412892,2.7575667,1.4516622,2.713605
1.4441091,2.624207,1.4544142,2.5947948
1.5379342,2.8199446,1.5465196,2.7501519
1.4437395,2.5185306,1.4540861,2.4941888
1.4347049,2.6304972,1.4453357,2.7446187
1.4208037,2.4201462,1.4319884,2.5007668
1.5123589,2.5389323,1.5213668,2.5928857
1.4958386,2.7295842,1.5051202,2.7084713
1.512226,2.4983466,1.5212466,2.4975858
1.4569077,2.4887972,1.466952,2.4823153
1.4469608,2.542502,1.4572637,2.618904
1.5289664,2.582147,1.537763,2.5499268
1.4119105,2.2776835,1.423734,2.3450358
1.4167192,2.1527987,1.4298179,2.1778872
1.4099568,2.380584,1.4221902,2.346004
1.4486749,2.3508937,1.4589663,2.4143057
1.4603378,2.2989452,1.4703567,2.4143467
1.4402952,2.340805,1.4508207,2.4310634
1.4113622,2.2049658,1.4240134,2.2704346
1.4804579,2.3077853,1.4953959,2.321134
1.4280385,2.3094153,1.4416538,2.341772
1.4123306,2.2760293,1.4241236,2.2554631
1.6708555,2.57513,1.6780709,2.670554
1.6430243,2.4057913,1.6505089,2.4822798
1.7430667,2.5367684,1.7496446,2.606649
1.4778141,2.2374535,1.4875115,2.2622325
1.4288499,2.1329367,1.4397624,2.2102737
1.4100761,2.2939932,1.42222,2.3191004
1.4121026,2.3275623,1.4238801,2.3643553
1.4656669,2.1491532,1.4802178,2.2361732
1.4117578,2.1017272,1.4243984,2.1329079
1.4365958,2.3239236,1.450427,2.3557334
1.4122572,2.10895,1.4249508,2.1031022
1.4118261,2.097255,1.4244727,2.1553252
1.4173902,2.2159936,1.4287772,2.2003706
1.4738897,2.1921005,1.4836463,2.2364492
1.425267,2.1947646,1.4386903,2.2321663
1.5142927,2.237829,1.5296642,2.3147287
1.4631034,2.0638025,1.4775681,2.1104527
1.4145992,2.1237245,1.427472,2.1429906
1.5680913,2.2278306,1.5841622,2.219794
1.6567737,2.3041675,1.6738099,2.3003013
1.7991649,2.1800923,1.8174357,2.2131793
1.5400372,2.071395,1.5557485,2.0957394
1.441668,1.97014,1.4556057,2.0254116
1.4108113,1.9171126,1.4232967,1.9364682
1.4936008,2.267024,1.5030072,2.314089
1.4796913,2.0943558,1.4893404,2.1432402
1.4111073,1.9898328,1.4236329,2.0648837
